,Sintering,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P
11,1,5,70,7,269.5 ,9.5,350,35,1347.5,47.5,490,18865,665,1886.5,66.5,2560.25,0.071428571,0.714285714,0.018552876,0.526315789,10,0.25974026,7.368421053,38.5,28.36842105,1.357142857,50,1.298701299,36.84210526,0.5,0.12987013,3.684210526,19.25,192.5,141.8421053,0.678571429,6.785714286,0.176252319,1.818181818,51.57894737,2695,1985.789474,95,2.467532468,26.95,198.5789474,0.95,0.246753247,36.575,365.75,2450,94325,3325,9432.5,332.5,12801.25,132055,4655,179217.5,17921.75,0.010204082,0.000265041,0.007518797,0.002650411,0.07518797,0.001952934
12,0,5,100,5,258.3 ,8.1,500,25,1291.5,40.5,500,25830,810,1291.5,40.5,2092.23,0.05,1,0.019357336,0.617283951,20,0.387146729,12.34567901,51.66,31.88888889,1.62,100,1.935733643,61.72839506,0.25,0.096786682,3.086419753,12.915,258.3,159.4444444,0.405,8.1,0.156794425,1.935733643,61.72839506,5166,3188.888889,162,3.135888502,12.915,159.4444444,0.405,0.156794425,20.9223,418.446,2500,129150,4050,6457.5,202.5,10461.15,129150,4050,209223,10461.15,0.01,0.000193573,0.00617284,0.003871467,0.12345679,0.002389795
13,1,5,100,7,257.6 ,8,500,35,1288,40,700,25760,800,1803.2,56,2060.8,0.05,0.714285714,0.019409938,0.625,14.28571429,0.388198758,12.5,36.8,32.2,1.142857143,71.42857143,1.940993789,62.5,0.35,0.135869565,4.375,12.88,184,161,0.4,5.714285714,0.155279503,2.717391304,87.5,3680,3220,114.2857143,3.105590062,18.032,225.4,0.56,0.217391304,20.608,294.4,3500,128800,4000,9016,280,10304,180320,5600,206080,14425.6,0.007142857,0.000194099,0.00625,0.002772848,0.089285714,0.002426242
14,1,5,100,7,256.3 ,9.5,500,35,1281.5,47.5,700,25630,950,1794.1,66.5,2434.85,0.05,0.714285714,0.019508389,0.526315789,14.28571429,0.390167772,10.52631579,36.61428571,26.97894737,1.357142857,71.42857143,1.950838861,52.63157895,0.35,0.13655872,3.684210526,12.815,183.0714286,134.8947368,0.475,6.785714286,0.185329692,2.731174405,73.68421053,3661.428571,2697.894737,135.7142857,3.706593835,17.941,188.8526316,0.665,0.259461568,24.3485,347.8357143,3500,128150,4750,8970.5,332.5,12174.25,179410,6650,243485,17043.95,0.007142857,0.000195084,0.005263158,0.002786913,0.07518797,0.002053515
15,0,50,100,7,256.6 ,9.5,5000,350,12830,475,700,25660,950,1796.2,66.5,2437.7,0.5,7.142857143,0.194855807,5.263157895,14.28571429,0.389711613,10.52631579,36.65714286,27.01052632,1.357142857,714.2857143,19.48558067,526.3157895,3.5,1.363990647,36.84210526,128.3,1832.857143,1350.526316,4.75,67.85714286,1.851130164,2.727981294,73.68421053,3665.714286,2701.052632,135.7142857,3.702260327,17.962,189.0736842,0.665,0.259158223,24.377,348.2428571,35000,1283000,47500,89810,3325,121885,179620,6650,243770,17063.9,0.071428571,0.001948558,0.052631579,0.027836544,0.751879699,0.020511138
16,0,30,100,7,257.5 ,9.5,3000,210,7725,285,700,25750,950,1802.5,66.5,2446.25,0.3,4.285714286,0.116504854,3.157894737,14.28571429,0.388349515,10.52631579,36.78571429,27.10526316,1.357142857,428.5714286,11.65048544,315.7894737,2.1,0.815533981,22.10526316,77.25,1103.571429,813.1578947,2.85,40.71428571,1.106796117,2.718446602,73.68421053,3678.571429,2710.526316,135.7142857,3.689320388,18.025,189.7368421,0.665,0.258252427,24.4625,349.4642857,21000,772500,28500,54075,1995,73387.5,180250,6650,244625,17123.75,0.042857143,0.001165049,0.031578947,0.016643551,0.45112782,0.012263669
17,0,9.5,99,8.59,221.0 ,10,940.5,81.605,2099.5,95,850.41,21879,990,1898.39,85.9,2210,0.095959596,1.105937136,0.042986425,0.95,11.5250291,0.447963801,9.9,25.72759022,22.1,1.164144354,109.4877765,4.255656109,94.05,0.824292929,0.369253394,8.1605,21.20707071,244.4121071,209.95,0.95959596,11.05937136,0.429864253,3.84800905,85.041,2547.031432,2187.9,115.250291,4.479638009,19.17565657,189.839,0.867676768,0.388687783,22.32323232,257.2759022,8078.895,207850.5,9405,18034.705,816.05,20995,187940.61,8504.1,218790,18983.9,0.011171082,0.000434206,0.00959596,0.00500424,0.110593714,0.004298643
18,1,0.1,41,7.36,260.3 ,7.5,4.1,0.736,26.03,0.75,301.76,10672.3,307.5,1915.808,55.2,1952.25,0.002439024,0.013586957,0.000384172,0.013333333,5.570652174,0.157510565,5.466666667,35.36684783,34.70666667,1.019021739,0.557065217,0.015751056,0.546666667,0.01795122,0.002827507,0.098133333,0.634878049,3.536684783,3.470666667,0.018292683,0.101902174,0.002881291,1.159277756,40.23466667,1450.040761,1422.973333,41.7798913,1.181329235,46.72702439,255.4410667,1.346341463,0.212063004,47.61585366,265.2513587,30.176,1067.23,30.75,191.5808,5.52,195.225,78548.128,2263.2,80042.25,14368.56,0.000331389,9.37005E-06,0.000325203,5.21973E-05,0.001811594,5.12229E-05
19,1,2,85,4,194.9 ,9.5,170,8,389.8,19,340,16566.5,807.5,779.6,38,1851.55,0.023529412,0.5,0.010261673,0.210526316,21.25,0.436121088,8.947368421,48.725,20.51578947,2.375,42.5,0.872242175,17.89473684,0.094117647,0.041046691,0.842105263,4.585882353,97.45,41.03157895,0.223529412,4.75,0.09748589,1.744484351,35.78947368,4141.625,1743.842105,201.875,4.143150334,9.171764706,82.06315789,0.447058824,0.19497178,21.78294118,462.8875,680,33133,1615,1559.2,76,3703.1,66266,3230,157381.75,7406.2,0.005882353,0.000120726,0.00247678,0.002565418,0.052631579,0.001080176
20,1,0.3,60,8.7,254.0 ,7.8,18,2.61,76.2,2.34,522,15240,468,2209.8,67.86,1981.2,0.005,0.034482759,0.001181102,0.038461538,6.896551724,0.236220472,7.692307692,29.1954023,32.56410256,0.896551724,2.068965517,0.070866142,2.307692308,0.0435,0.010275591,0.334615385,1.27,8.75862069,9.769230769,0.039,0.268965517,0.009212598,2.05511811,66.92307692,1751.724138,1953.846154,53.79310345,1.842519685,36.83,283.3076923,1.131,0.267165354,33.02,227.7241379,156.6,4572,140.4,662.94,20.358,594.36,132588,4071.6,118872,17236.44,0.000574713,1.9685E-05,0.000641026,0.000135759,0.004420866,0.000151423
21,1,3,65,2.5,229.8 ,8.8,195,7.5,689.4,26.4,162.5,14937,572,574.5,22,2022.24,0.046153846,1.2,0.01305483,0.340909091,26,0.282854656,7.386363636,91.92,26.11363636,3.52,78,0.848563969,22.15909091,0.115384615,0.032637076,0.852272727,10.60615385,275.76,78.34090909,0.406153846,10.56,0.114882507,0.707136641,18.46590909,5974.8,1697.386364,228.8,2.489120975,8.838461538,65.28409091,0.338461538,0.095735422,31.11138462,808.896,487.5,44811,1716,1723.5,66,6066.72,37342.5,1430,131445.6,5055.6,0.018461538,0.000200844,0.005244755,0.005221932,0.136363636,0.001483503
22,1,4.5,44,5,240.2 ,7.7,198,22.5,1080.9,34.65,220,10568.8,338.8,1201,38.5,1849.54,0.102272727,0.9,0.018734388,0.584415584,8.8,0.183180683,5.714285714,48.04,31.19480519,1.54,39.6,0.824313072,25.71428571,0.511363636,0.09367194,2.922077922,24.56590909,216.18,140.3766234,0.7875,6.93,0.144254788,0.915903414,28.57142857,2113.76,1372.571429,67.76,1.410491257,27.29545455,155.974026,0.875,0.160283097,42.035,369.908,990,47559.6,1524.6,5404.5,173.25,8322.93,52844,1694,81379.76,9247.7,0.020454545,0.000425782,0.013282172,0.003746878,0.116883117,0.002433037
23,1,0.4,93,8.5,247.7 ,9.2,37.2,3.4,99.08,3.68,790.5,23036.1,855.6,2105.45,78.2,2278.84,0.004301075,0.047058824,0.001614857,0.043478261,10.94117647,0.375454178,10.10869565,29.14117647,26.92391304,1.082352941,4.376470588,0.150181671,4.043478261,0.03655914,0.013726282,0.369565217,1.065376344,11.65647059,10.76956522,0.039569892,0.432941176,0.014856681,3.191360517,85.92391304,2710.129412,2503.923913,100.6588235,3.454178442,22.63924731,228.8532609,0.840860215,0.315704481,24.50365591,268.0988235,316.2,9214.44,342.24,842.18,31.28,911.536,195806.85,7272.6,211932.12,19370.14,0.000506009,1.73641E-05,0.000467508,0.000189983,0.00511509,0.000175528
