,xrf_5p,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I,N*M/I,N*M/T,N*M/P,N*I/M,N*I/T,N*I/P,N*T/M,N*T/I,N*T/P,N*P/M,N*P/I,N*P/T,M*I/T,M*I/P,M*T/I,M*T/P,M*P/I,M*P/T,I*T/M,I*T/P,I*P/M,I*P/T,T*P/M,T*P/I,N*M*I,N*M*T,N*M*P,N*I*T,N*I*P,N*T*P,M*I*T,M*I*P,M*T*P,I*T*P,N/M/I,N/M/T,N/M/P,N/I/T,N/I/P,N/T/P,N*M*I*T,N*M*I*P,N*M*T*P,N*I*T*P,M*I*T*P,N*M*I/T,N*M/I*T,N/M*I*T,N*M/I/T,N/M*I/T,N/M/I*T,N/M/I/T,N*M*I/P,N*M/I*P,N/M*I*P,N*M/I/P,N/M*I/P,N/M/I*P,N/M/I/P,N*M*T/P,N*M/T*P,N/M*T*P,N*M/T/P,N/M*T/P,N/M/T*P,N/M/T/P,N*I*T/P,N*I/T*P,N/I*T*P,N*I/T/P,N/I*T/P,N/I/T*P,N/I/T/P,M*I*T/P,M*I/T*P,M/I*T*P,/M*I*T*P,M*I/T/P,M/I*T/P,M/I/T*P,/M*I*T/P,/M*I/T*P,/M/I*T*P,M/I/T/P,/M*I/T/P,/M/I*T/P,/M/I/T*P,N*M*I*T*P,N*M*I*T/P,N*M*I/T*P,N*M/I*T*P,N/M*I*T*P,N*M*I/T/P,N*M/I*T/P,N*M/I/T*P,N/M*I*T/P,N/M*I/T*P,N/M/I*T*P,N*M/I/T/P,N/M*I/T/P,N/M/I*T/P,N/M/I/T*P,N/M/I/T/P
18,0,0.1,41,7.36,260.3,7.5,4.1,0.736,26.03,0.75,301.76,10672.3,307.5,1915.808,55.2,1952.25,0.002439024,0.013586957,0.000384172,0.013333333,5.570652174,0.157510565,5.466666667,35.36684783,34.70666667,1.019021739,0.557065217,0.015751056,0.546666667,0.01795122,0.002827507,0.098133333,0.634878049,3.536684783,3.470666667,0.018292683,0.101902174,0.002881291,1.159277756,40.23466667,1450.040761,1422.973333,41.7798913,1.181329235,46.72702439,255.4410667,1.346341463,0.212063004,47.61585366,265.2513587,30.176,1067.23,30.75,191.5808,5.52,1.95E+02,78548.128,2.26E+03,80042.25,1.44E+04,0.000331389,9.37E-06,0.000325203,5.22E-05,0.001811594,5.12E-05,7854.8128,226.32,8004.225,1436.856,589110.96,0.115927776,145.0040761,4.672702439,0.002140089,6.90E-05,0.086260604,1.27E-06,4.023466667,4.17798913,0.134634146,0.074275362,0.002393496,0.002485419,4.42E-05,142.2973333,0.118132924,4.761585366,0.002100141,0.084650407,7.03E-05,1.25E-06,25.54410667,0.0212063,26.52513587,0.000377001,0.471557971,0.00039148,6.96E-06,10473.08373,8.694583173,10875.30571,350.4526829,0.154570368,193.3387681,0.16050669,6.230269919,0.005172268,6.469545334,0.002853452,9.20E-05,0.115014139,9.55E-05,58911.096,1047.308373,0.869458317,1087.530571,35.04526829,0.015457037,19.33387681,0.016050669,0.623026992,0.000517227,0.646954533,0.000285345,9.20E-06,0.011501414,9.55E-06,1.70E-07
19,0,2,85,4,194.9,9.5,170,8,389.8,19,340,16566.5,807.5,779.6,38,1851.55,0.023529412,0.5,0.010261673,0.210526316,21.25,0.436121088,8.947368421,48.725,20.51578947,2.375,42.5,0.872242175,17.89473684,0.094117647,0.041046691,0.842105263,4.585882353,97.45,41.03157895,0.223529412,4.75,0.09748589,1.744484351,35.78947368,4141.625,1743.842105,201.875,4.143150334,9.171764706,82.06315789,0.447058824,0.19497178,21.78294118,462.8875,680,33133,1615,1559.2,76,3703.1,66266,3230,157381.75,7406.2,0.005882353,0.000120726,0.00247678,0.002565418,0.052631579,0.001080176,132532,6460,314763.5,14812.4,629527,3.488968702,8283.25,18.34352941,0.218060544,0.000482902,1.146470588,3.02E-05,71.57894737,403.75,0.894117647,4.473684211,0.009907121,0.055882353,0.000619195,3487.684211,8.286300667,43.56588235,0.091814966,0.482724458,0.001146893,1.27E-05,164.1263158,0.389943561,925.775,0.004320704,10.25789474,0.024371473,0.000270044,6975.368421,16.57260133,39345.4375,87.13176471,0.183629932,435.9605263,1.035787583,0.965448916,0.002293786,5.445735294,0.011476871,2.54E-05,0.060340557,0.000143362,1259054,13950.73684,33.14520267,78690.875,174.2635294,0.367259863,871.9210526,2.071575167,1.930897833,0.004587571,10.89147059,0.022953741,5.08E-05,0.120681115,0.000286723,3.18E-06
20,1,0.3,60,8.7,254,7.8,18,2.61,76.2,2.34,522,15240,468,2209.8,67.86,1981.2,0.005,0.034482759,0.001181102,0.038461538,6.896551724,0.236220472,7.692307692,29.1954023,32.56410256,0.896551724,2.068965517,0.070866142,2.307692308,0.0435,0.010275591,0.334615385,1.27,8.75862069,9.769230769,0.039,0.268965517,0.009212598,2.05511811,66.92307692,1751.724138,1953.846154,53.79310345,1.842519685,36.83,283.3076923,1.131,0.267165354,33.02,227.7241379,156.6,4572,140.4,662.94,20.358,5.94E+02,132588,4071.6,118872,17236.44,0.000574713,1.97E-05,0.000641026,0.000135759,0.004420866,0.000151423,39776.4,1221.48,35661.6,5170.932,1034186.4,0.616535433,525.5172414,11.049,0.008145534,0.00017126,0.145977011,2.26E-06,20.07692308,16.13793103,0.3393,0.265251989,0.005576923,0.004482759,7.37E-05,586.1538462,0.552755906,9.906,0.009085403,0.162820513,0.000153543,2.52E-06,84.99230769,0.080149606,68.31724138,0.001317383,1.122900088,0.001058919,1.74E-05,16998.46154,16.02992126,13663.44828,287.274,0.263476681,224.5800177,0.211783872,4.721794872,0.004452756,3.795402299,0.003480997,7.32E-05,0.062383338,5.88E-05,310255.92,5099.538462,4.808976378,4099.034483,86.1822,0.079043004,67.37400531,0.063535162,1.416538462,0.001335827,1.13862069,0.001044299,2.20E-05,0.018715001,1.76E-05,2.90E-07
21,1,3,65,2.5,229.8,8.8,195,7.5,689.4,26.4,162.5,14937,572,574.5,22,2022.24,0.046153846,1.2,0.01305483,0.340909091,26,0.282854656,7.386363636,91.92,26.11363636,3.52,78,0.848563969,22.15909091,0.115384615,0.032637076,0.852272727,10.60615385,275.76,78.34090909,0.406153846,10.56,0.114882507,0.707136641,18.46590909,5974.8,1697.386364,228.8,2.489120975,8.838461538,65.28409091,0.338461538,0.095735422,31.11138462,808.896,487.5,44811,1716,1723.5,66,6066.72,37342.5,1430,131445.6,5055.6,0.018461538,0.000200844,0.005244755,0.005221932,0.136363636,0.001483503,112027.5,4290,394336.8,15166.8,328614,2.121409922,17924.4,26.51538462,0.339425587,0.000502109,4.242461538,8.03E-05,55.39772727,686.4,1.015384615,8.863636364,0.013111888,0.162461538,0.002097902,5092.159091,7.467362924,93.33415385,0.096427724,1.205244755,0.001767423,2.28E-05,195.8522727,0.287206266,2426.688,0.003708759,31.33636364,0.045953003,0.000593401,4243.465909,6.222802437,52578.24,77.77846154,0.080356436,678.9545455,0.99564839,1.004370629,0.001472853,12.44455385,0.01285703,1.90E-05,0.160699301,0.000235656,985842,12730.39773,18.66840731,157734.72,233.3353846,0.241069309,2036.863636,2.98694517,3.013111888,0.004418558,37.33366154,0.038571089,5.71E-05,0.482097902,0.000706969,9.13E-06
22,0,4.5,44,5,240.2,7.7,198,22.5,1080.9,34.65,220,10568.8,338.8,1201,38.5,1849.54,0.102272727,0.9,0.018734388,0.584415584,8.8,0.183180683,5.714285714,48.04,31.19480519,1.54,39.6,0.824313072,25.71428571,0.511363636,0.09367194,2.922077922,24.56590909,216.18,140.3766234,0.7875,6.93,0.144254788,0.915903414,28.57142857,2113.76,1372.571429,67.76,1.410491257,27.29545455,155.974026,0.875,0.160283097,42.035,369.908,990,47559.6,1524.6,5404.5,173.25,8322.93,52844,1694,81379.76,9247.7,0.020454545,0.000425782,0.013282172,0.003746878,0.116883117,0.002433037,237798,7623,366208.92,41614.65,406898.8,4.121565362,9511.92,122.8295455,0.164862614,0.002128908,4.913181818,8.52E-05,128.5714286,304.92,3.9375,5.142857143,0.066410862,0.1575,0.002656434,6176.571429,6.347210658,189.1575,0.107053646,3.190377804,0.003278518,5.53E-05,701.8831169,0.721273938,1664.586,0.012165187,28.07532468,0.028850958,0.000486607,6862.857143,7.052456286,16275.952,210.175,0.118948495,274.5142857,0.282098251,3.544864227,0.003642798,8.407,0.00475794,6.14E-05,0.141794569,0.000145712,1831044.6,30882.85714,31.73605329,73241.784,945.7875,0.535268229,1235.314286,1.269442132,15.95188902,0.01639259,37.8315,0.021410729,0.000276482,0.638075561,0.000655704,1.11E-05
23,0,0.4,93,8.5,247.7,9.2,37.2,3.4,99.08,3.68,790.5,23036.1,855.6,2105.45,78.2,2278.84,0.004301075,0.047058824,0.001614857,0.043478261,10.94117647,0.375454178,10.10869565,29.14117647,26.92391304,1.082352941,4.376470588,0.150181671,4.043478261,0.03655914,0.013726282,0.369565217,1.065376344,11.65647059,10.76956522,0.039569892,0.432941176,0.014856681,3.191360517,85.92391304,2710.129412,2503.923913,100.6588235,3.454178442,22.63924731,228.8532609,0.840860215,0.315704481,24.50365591,268.0988235,316.2,9214.44,342.24,842.18,31.28,9.12E+02,195806.85,7272.6,211932.12,19370.14,0.000506009,1.74E-05,0.000467508,0.000189983,0.00511509,0.000175528,78322.74,2909.04,84772.848,7748.056,1801423.02,1.276544207,1084.051765,9.055698925,0.017668432,0.000147594,0.125338393,2.04E-06,34.36956522,40.26352941,0.336344086,0.475703325,0.00397382,0.004655281,5.50E-05,1001.569565,1.381671377,9.801462366,0.016324095,0.115801777,0.000159749,1.89E-06,91.54130435,0.126281792,107.2395294,0.001491987,1.267007673,0.001747845,2.07E-05,21283.35326,29.36051675,24933.19059,208.2810753,0.346887013,294.5792839,0.406373934,2.460787751,0.003394672,2.882783049,0.004801204,4.01E-05,0.034059346,4.70E-05,720569.208,8513.341304,11.7442067,9973.276235,83.31243011,0.138754805,117.8317136,0.162549574,0.984315101,0.001357869,1.153113219,0.001920482,1.60E-05,0.013623738,1.88E-05,2.22E-07
24,1,2.5,89,5.5,220.3,8.3,222.5,13.75,550.75,20.75,489.5,19606.7,738.7,1211.65,45.65,1828.49,0.028089888,0.454545455,0.011348162,0.301204819,16.18181818,0.403994553,10.72289157,40.05454545,26.54216867,1.509090909,40.45454545,1.009986382,26.80722892,0.154494382,0.062414889,1.656626506,6.188202247,100.1363636,66.35542169,0.233146067,3.772727273,0.094189741,2.221970041,58.97590361,3564.854545,2362.253012,134.3090909,3.353154789,13.61404494,145.9819277,0.512921348,0.207217431,20.54483146,332.4527273,1223.75,49016.75,1846.75,3029.125,114.125,4571.225,107836.85,4062.85,162735.61,10056.695,0.005107252,0.000127507,0.003384324,0.002063302,0.054764513,0.001367248,269592.125,10157.125,406839.025,25141.7375,895045.855,5.554925102,8912.136364,34.03511236,0.183633888,0.000701291,1.125127681,2.32E-05,147.439759,335.7727273,1.282303371,4.874041621,0.018613781,0.042390194,0.000615332,5905.63253,8.382886972,51.36207865,0.121685106,0.745566536,0.001058312,1.54E-05,364.9548193,0.518043577,831.1318182,0.007519866,12.06462212,0.017125408,0.000248591,12992.39157,18.44235134,29588.29273,112.996573,0.267707234,429.5005476,0.609664507,1.640246379,0.002328286,3.735423902,0.008849826,3.38E-05,0.054223021,7.70E-05,2237614.638,32480.97892,46.10587835,73970.73182,282.4914326,0.669268085,1073.751369,1.524161268,4.100615947,0.005820714,9.338559755,0.022124565,8.45E-05,0.135557552,0.00019242,2.79E-06
25,0,0,55,6,157.2,9.3,0,0,0,0,330,8646,511.5,943.2,55.8,1461.96,0,0,0,0,9.166666667,0.349872774,5.913978495,26.2,16.90322581,1.55,0,0,0,0,0,0,0,0,0,0,0,0,2.099236641,35.48387097,1441,929.6774194,85.25,3.253816794,17.14909091,101.4193548,1.014545455,0.354961832,26.58109091,243.66,0,0,0,0,0,0,51876,3069,80407.8,8771.76,0,0,0,0,0,0,0,0,0,0,482446.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5578.064516,19.52290076,13401.3,159.4865455,0.22572437,154.9462366,0.542302799,1.84398827,0.006453851,4.430181818,0.006270121,7.46E-05,0.051221896,0.000179274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,75,4,239.9,8.2,0,0,0,0,300,17992.5,615,959.6,32.8,1967.18,0,0,0,0,18.75,0.312630263,9.146341463,59.975,29.25609756,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1.25052105,36.58536585,4498.125,2194.207317,153.75,2.563568153,12.79466667,117.0243902,0.437333333,0.136723635,26.22906667,491.795,0,0,0,0,0,0,71970,2460,147538.5,7868.72,0,0,0,0,0,0,0,0,0,0,590154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8776.829268,10.25427261,36884.625,104.9162667,0.152502567,548.5518293,0.640892038,1.560325203,0.001822982,6.557266667,0.00953141,2.71E-05,0.097520325,0.000113936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,4.8,67,5.1,193.7,8,321.6,24.48,929.76,38.4,341.7,12977.9,536,987.87,40.8,1549.6,0.071641791,0.941176471,0.024780589,0.6,13.1372549,0.345895715,8.375,37.98039216,24.2125,1.568627451,63.05882353,1.660299432,40.2,0.365373134,0.126381002,3.06,13.87701493,182.3058824,116.22,0.573134328,7.529411765,0.198244708,1.764068147,42.7125,2544.686275,1622.2375,105.0980392,2.76716572,14.74432836,123.48375,0.608955224,0.210635003,23.12835821,303.8431373,1640.16,62293.92,2572.8,4741.776,195.84,7438.08,66187.29,2733.6,103823.2,7902.96,0.01404741,0.00036986,0.008955224,0.004858939,0.117647059,0.003097574,317698.992,13121.28,498351.36,37934.208,529498.32,8.467527104,12214.49412,70.77277612,0.325548908,0.001886284,2.720983319,7.25E-05,205.02,504.4705882,2.922985075,7.882352941,0.045671642,0.11237928,0.001755926,7786.74,13.28239546,111.0161194,0.207537429,1.734626866,0.002958876,4.62E-05,592.722,1.011048012,1458.447059,0.015797625,22.78823529,0.038871511,0.000607367,8273.41125,14.11254517,20357.4902,117.9546269,0.220508518,318.0857843,0.542581514,1.843041045,0.003143806,4.534972198,0.008477836,4.91E-05,0.070858941,0.000120869,2541591.936,39712.374,67.74021683,97715.95294,566.182209,1.058440888,1526.811765,2.604391266,8.846597015,0.015090269,21.76786655,0.040693614,0.000235785,0.340122915,0.000580172,9.07E-06
29,0,0.6,74,5.8,211,7.5,44.4,3.48,126.6,4.5,429.2,15614,555,1223.8,43.5,1582.5,0.008108108,0.103448276,0.002843602,0.08,12.75862069,0.3507109,9.866666667,36.37931034,28.13333333,1.293103448,7.655172414,0.21042654,5.92,0.047027027,0.016492891,0.464,1.710810811,21.82758621,16.88,0.060810811,0.775862069,0.021327014,2.034123223,57.22666667,2692.068966,2081.866667,95.68965517,2.630331754,16.53783784,163.1733333,0.587837838,0.206161137,21.38513514,272.8448276,257.52,9368.4,333,734.28,26.1,9.50E+02,90561.2,3219,117105,9178.5,0.00139795,3.84E-05,0.001081081,0.000490276,0.013793103,0.000379147,54336.72,1931.4,70263,5507.1,679209,1.220473934,1615.241379,9.922702703,0.036280438,0.000222877,0.294967381,6.63E-06,34.336,57.4137931,0.352702703,1.020689655,0.00627027,0.010484623,0.000186393,1249.12,1.578199052,12.83108108,0.028056872,0.228108108,0.000288203,5.12E-06,97.904,0.123696682,163.7068966,0.002199052,2.910344828,0.003677071,6.54E-05,12074.82667,15.25592417,20190.51724,124.0337838,0.27121643,358.9425287,0.453505475,2.205045045,0.002785961,3.687092265,0.00806232,4.95E-05,0.065548307,8.28E-05,407525.4,7244.896,9.153554502,12114.31034,74.42027027,0.162729858,215.3655172,0.272103285,1.323027027,0.001671577,2.212255359,0.004837392,2.97E-05,0.039328984,4.97E-05,8.83E-07
30,0,1.9,59,4,150.8,8.1,112.1,7.6,286.52,15.39,236,8897.2,477.9,603.2,32.4,1221.48,0.03220339,0.475,0.012599469,0.234567901,14.75,0.391246684,7.283950617,37.7,18.61728395,2.025,28.025,0.7433687,13.83950617,0.128813559,0.050397878,0.938271605,4.856271186,71.63,35.37283951,0.260847458,3.8475,0.102055703,1.564986737,29.13580247,2224.3,1098.419753,119.475,3.169098143,10.22372881,74.4691358,0.549152542,0.214854111,20.70305085,305.37,448.4,16904.68,908.01,1146.08,61.56,2320.812,35588.8,1911.6,72067.32,4885.92,0.008050847,0.00021355,0.003975727,0.003149867,0.058641975,0.00155549,67618.72,3632.04,136927.908,9283.248,288269.28,2.973474801,4226.17,19.42508475,0.185842175,0.000854201,1.214067797,5.34E-05,55.35802469,227.0025,1.043389831,3.459876543,0.015902909,0.065211864,0.000993932,2086.997531,6.021286472,39.33579661,0.091773914,0.599539653,0.001729758,2.64E-05,141.491358,0.408222812,580.203,0.00622196,8.843209877,0.025513926,0.000388873,4393.679012,12.67639257,18016.83,82.81220339,0.193208239,274.6049383,0.792274536,1.262188742,0.003641595,5.175762712,0.012075515,5.55E-05,0.078886796,0.0002276,547711.632,8347.990123,24.08514589,34231.977,157.3431864,0.367095654,521.7493827,1.505321618,2.398158611,0.006919031,9.833949153,0.022943478,0.000105457,0.149884913,0.000432439,6.59E-06
31,1,2.2,53,2.4,134.1,8.5,116.6,5.28,295.02,18.7,127.2,7107.3,450.5,321.84,20.4,1139.85,0.041509434,0.916666667,0.016405667,0.258823529,22.08333333,0.395227442,6.235294118,55.875,15.77647059,3.541666667,48.58333333,0.869500373,13.71764706,0.099622642,0.039373602,0.621176471,5.566415094,122.925,34.70823529,0.352830189,7.791666667,0.139448173,0.948545861,14.96470588,2961.375,836.1529412,187.7083333,3.359433259,6.07245283,37.86352941,0.38490566,0.15212528,21.50660377,474.9375,279.84,15636.06,991.1,708.048,44.88,2507.67,17057.52,1081.2,60412.05,2735.64,0.017295597,0.000309541,0.004883463,0.006835695,0.107843137,0.001930079,37526.544,2378.64,132906.51,6018.408,144988.92,2.086800895,6515.025,13.35939623,0.362291822,0.000742898,2.319339623,0.000128975,32.92235294,412.9583333,0.846792453,5.715686275,0.011720311,0.147012579,0.002034776,1839.536471,7.390753169,47.3145283,0.102294162,0.654872364,0.002631098,3.64E-05,83.29976471,0.334675615,1044.8625,0.004632188,14.46176471,0.058103405,0.000804199,2006.767059,8.062639821,25171.6875,51.61584906,0.111593631,348.3970588,1.399763858,0.714406215,0.002870288,8.961084906,0.019373894,3.97E-05,0.124028857,0.000498314,318975.624,4414.887529,17.73780761,55377.7125,113.5548679,0.245505988,766.4735294,3.079480487,1.571693674,0.006314634,19.71438679,0.042622567,8.74E-05,0.272863485,0.001096291,1.52E-05
32,0,3.8,43,9.6,176.9,8.6,163.4,36.48,672.22,32.68,412.8,7606.7,369.8,1698.24,82.56,1521.34,0.088372093,0.395833333,0.021481063,0.441860465,4.479166667,0.243075184,5,18.42708333,20.56976744,0.895833333,17.02083333,0.923685698,19,0.848372093,0.206218202,4.241860465,15.63302326,70.02291667,78.16511628,0.76,3.404166667,0.18473714,2.333521764,48,792.3645833,884.5,38.52083333,2.09044658,39.49395349,197.4697674,1.92,0.466704353,35.38,158.4729167,1568.64,28905.46,1405.24,6453.312,313.728,5781.092,73024.32,3550.08,65417.62,14604.864,0.009205426,0.00049956,0.010275825,0.002237611,0.046027132,0.002497798,277492.416,13490.304,248586.956,55498.4832,628009.152,8.867382702,3010.985417,150.0770233,0.09621726,0.004795772,1.628439922,5.20E-05,182.4,146.3791667,7.296,1.979166667,0.098647918,0.079166667,0.001070398,3361.1,7.943697004,134.444,0.107405314,1.817793402,0.004296213,5.81E-05,750.3851163,1.77347654,602.1970833,0.023978861,8.142199612,0.019243452,0.000260187,8491.2,20.06828717,6814.335417,339.648,0.27133974,92.13541667,0.217754852,4.592320173,0.01085359,3.685416667,0.002944225,0.000146749,0.049829863,0.000117769,2386434.778,32266.56,76.25949124,25894.47458,1290.6624,1.031091012,350.1145833,0.827468438,17.45081666,0.04124364,14.00458333,0.011188054,0.000557648,0.189353479,0.000447522,6.05E-06
33,1,1.5,73,2,157.6,9.1,109.5,3,236.4,13.65,146,11504.8,664.3,315.2,18.2,1434.16,0.020547945,0.75,0.009517766,0.164835165,36.5,0.46319797,8.021978022,78.8,17.31868132,4.55,54.75,0.694796954,12.03296703,0.04109589,0.019035533,0.32967033,3.238356164,118.2,25.97802198,0.186986301,6.825,0.086611675,0.926395939,16.04395604,5752.4,1264.263736,332.15,4.215101523,4.317808219,34.63736264,0.249315068,0.115482234,19.6460274,717.08,219,17257.2,996.45,472.8,27.3,2151.24,23009.6,1328.6,104693.68,2868.32,0.010273973,0.00013038,0.002258016,0.004758883,0.082417582,0.001045908,34514.4,1992.9,157040.52,4302.48,209387.36,1.389593909,8628.6,6.476712329,0.347398477,0.000260761,1.619178082,6.52E-05,24.06593407,498.225,0.373972603,6.016483516,0.004516032,0.093493151,0.001129008,1896.395604,6.322652284,29.4690411,0.076351314,0.355863315,0.001186461,1.43E-05,51.95604396,0.17322335,1075.62,0.002091817,12.98901099,0.043305838,0.000522954,2528.527473,8.430203046,52346.84,39.29205479,0.101801752,632.1318681,2.107550761,0.47448442,0.001581948,9.823013699,0.025450438,1.91E-05,0.118621105,0.000395487,314081.04,3792.791209,12.64530457,78520.26,58.93808219,0.152702627,948.1978022,3.161326142,0.71172663,0.002372923,14.73452055,0.038175657,2.87E-05,0.177931657,0.000593231,7.16E-06
34,1,3.2,58,4.1,216.5,7.9,185.6,13.12,692.8,25.28,237.8,12557,458.2,887.65,32.39,1710.35,0.055172414,0.780487805,0.0147806,0.405063291,14.14634146,0.267898383,7.341772152,52.80487805,27.40506329,1.926829268,45.26829268,0.857274827,23.49367089,0.226206897,0.060600462,1.660759494,11.94482759,168.9756098,87.69620253,0.435862069,6.165853659,0.116766744,1.098383372,30.10126582,3062.682927,1589.493671,111.7560976,2.116397229,15.30431034,112.3607595,0.558448276,0.14960739,29.4887931,417.1585366,760.96,40182.4,1466.24,2840.48,103.648,5473.12,51483.7,1878.62,99200.3,7012.435,0.013456686,0.000254838,0.00698385,0.003605025,0.098795925,0.001870962,164747.84,6011.584,317440.96,22439.792,406721.23,3.51482679,9800.585366,48.9737931,0.209091421,0.001044836,2.913372582,6.22E-05,96.32405063,357.6195122,1.787034483,5.730163631,0.028633784,0.106307822,0.001703378,5086.379747,6.772471132,94.36413793,0.108515801,1.512003492,0.00201322,3.23E-05,359.5544304,0.478743649,1334.907317,0.007670945,21.38931769,0.028479694,0.000456332,6516.924051,8.677228637,24195.19512,120.9040517,0.13903587,387.6813831,0.516194446,1.937254474,0.002579438,7.192388562,0.008271021,4.13E-05,0.115244169,0.000153447,1301507.936,20854.15696,27.76713164,77424.62439,386.8929655,0.444914784,1240.580426,1.651822227,6.199214317,0.008254201,23.0156434,0.026467269,0.000132258,0.368781339,0.000491029,7.87E-06
35,0,2.6,71,9.7,189.2,9,184.6,25.22,491.92,23.4,688.7,13433.2,639,1835.24,87.3,1702.8,0.036619718,0.268041237,0.013742072,0.288888889,7.319587629,0.375264271,7.888888889,19.50515464,21.02222222,0.927835052,19.03092784,0.975687104,20.51111111,0.355211268,0.133298097,2.802222222,6.928450704,50.71340206,54.65777778,0.329577465,2.412371134,0.123678647,3.640063425,76.52222222,1384.865979,1492.577778,65.87628866,3.377378436,25.8484507,203.9155556,1.229577465,0.46141649,23.98309859,175.5463918,1790.62,34926.32,1661.4,4771.624,226.98,4427.28,130302.04,6198.3,120898.8,16517.16,0.003775229,0.00019355,0.004068858,0.001416708,0.02978236,0.001526897,338785.304,16115.58,314336.88,42944.616,1172718.36,9.464164905,3600.651546,67.20597183,0.100586299,0.001877438,0.714273268,2.00E-05,198.9577778,171.2783505,3.196901408,2.114547537,0.039467919,0.033977058,0.00041947,3880.702222,8.781183932,62.35605634,0.108409678,0.769827856,0.001741953,2.15E-05,530.1804444,1.199682875,456.4206186,0.0148109,5.634822451,0.012750376,0.000157412,14478.00444,32.76057082,12463.79381,232.6360563,0.404451492,153.8739977,0.348183344,2.872050078,0.006498824,2.472484391,0.00429856,8.02E-05,0.030524499,6.91E-05,3049067.736,37642.81156,85.17748414,32405.86392,604.8537465,1.051573878,400.072394,0.905276694,7.467330203,0.016896942,6.428459416,0.011176255,0.000208604,0.079363696,0.000179583,2.22E-06
36,1,3.1,53,5.6,198.7,9,164.3,17.36,615.97,27.9,296.8,10531.1,477,1112.72,50.4,1788.3,0.058490566,0.553571429,0.015601409,0.344444444,9.464285714,0.26673377,5.888888889,35.48214286,22.07777778,1.607142857,29.33928571,0.826874685,18.25555556,0.32754717,0.087367891,1.928888889,11.62207547,109.9946429,68.44111111,0.526415094,4.982142857,0.140412682,1.493709109,32.97777778,1880.553571,1170.122222,85.17857143,2.400603926,20.99471698,123.6355556,0.950943396,0.253648717,33.74150943,319.3392857,920.08,32646.41,1478.7,3449.432,156.24,5543.73,58974.16,2671.2,94779.9,10014.48,0.010444744,0.000294366,0.006498952,0.002785966,0.061507937,0.00173349,182819.896,8280.72,293817.69,31044.888,530767.44,4.630498239,5829.716071,65.08362264,0.147656194,0.001648451,2.07537062,5.26E-05,102.2311111,264.0535714,2.947924528,3.259920635,0.03639413,0.094002695,0.001160527,3627.378889,7.441872169,104.5986792,0.091874965,1.291341719,0.002649296,3.27E-05,383.2702222,0.786311022,989.9517857,0.009707543,12.22162698,0.025073693,0.000309552,6552.684444,13.44338198,16924.98214,188.9524528,0.165967679,208.9503968,0.428679272,2.332746331,0.004785825,6.025269542,0.005292337,5.91E-05,0.074386044,0.000152609,1645379.064,20313.32178,41.67448415,52467.44464,585.7526038,0.514499804,647.7462302,1.328905744,7.231513627,0.014836057,18.67833558,0.016406244,0.000183161,0.230596736,0.000473089,5.84E-06
37,0,4.5,50,8.3,193.6,9.1,225,37.35,871.2,40.95,415,9680,455,1606.88,75.53,1761.76,0.09,0.542168675,0.023243802,0.494505495,6.024096386,0.258264463,5.494505495,23.3253012,21.27472527,1.096385542,27.10843373,1.162190083,24.72527473,0.747,0.192923554,4.104395604,17.424,104.9638554,95.73626374,0.819,4.93373494,0.211518595,2.143595041,45.6043956,1166.26506,1063.736264,54.81927711,2.350206612,32.1376,176.5802198,1.5106,0.390134298,35.2352,212.260241,1867.5,43560,2047.5,7230.96,339.885,7927.92,80344,3776.5,88088,14622.608,0.010843373,0.000464876,0.00989011,0.002800458,0.059578975,0.002554264,361548,16994.25,396396,65801.736,731130.4,9.646177686,5248.192771,144.6192,0.140022902,0.003858471,2.099277108,5.60E-05,205.2197802,246.686747,6.7977,2.978948762,0.082087912,0.098674699,0.00119158,4786.813187,10.57592975,158.5584,0.127713196,1.914725275,0.004230372,5.11E-05,794.610989,1.755604339,955.1710843,0.021200391,11.53448961,0.025484168,0.000307743,8829.010989,19.50671488,10613.01205,292.45216,0.235559895,128.1609956,0.283157423,3.531604396,0.007802686,4.245204819,0.003419363,9.42E-05,0.051264398,0.000113263,3290086.8,39730.54945,87.78021694,47758.55422,1316.03472,1.060019526,576.7244803,1.274208404,15.89221978,0.035112087,19.10342169,0.015387132,0.000424008,0.230689792,0.000509683,6.15E-06
