,xrf_6p,C,F_R,F_R,T,P,C*F_R,C*F_M,C*T,C*P,F_R*F_M,F_R*T,F_R*P,F_M*T,F_M_P,T*P,C/F_R,C/F_M,C/T,C/P,F_R/F_M,F_R/T,F_R/P,T/F_M,T/P,P/F_M,C*F_R/F_M,C*F_R/T,C*F_R/P,C*F_M/F_R,C*F_M/T,C*F_M/P,C*T/F_R,C*T/F_M,C*T/P,C*P/F_R,C*P/F_M,C*P/T,F_R*F_M/T,F_R*F_M/P,F_R*T/F_M,F_R*T/P,F_R*P/F_M,F_R*P/T,F_M*T/F_R,F_M*T/P,F_M*P/F_R,F_M*P/T,T*P/F_R,T*P/F_M,C*F_R*F_M,C*F_R*T,C*F_R*P,C*F_M*T,C*F_M*P,C*T*P,F_R*F_M*T,F_R*F_M*P,F_R*T*P,F_M*T*P,C/F_R/F_M,C/F_R/T,C/F_R/P,C/F_M/T,C/F_M/P,C/T/P
18,0,0.1,41,7.36,260.3,7.5,4.1,0.736,26.03,0.75,301.76,10672.3,307.5,1915.808,55.2,1952.25,0.002439024,0.013586957,0.000384172,0.013333333,5.570652174,0.157510565,5.466666667,35.36684783,34.70666667,1.019021739,0.557065217,0.015751056,0.546666667,0.01795122,0.002827507,0.098133333,0.634878049,3.536684783,3.470666667,0.018292683,0.101902174,0.002881291,1.159277756,40.23466667,1450.040761,1422.973333,41.7798913,1.181329235,46.72702439,255.4410667,1.346341463,0.212063004,47.61585366,265.2513587,30.176,1067.23,30.75,191.5808,5.52,1.95E+02,78548.128,2.26E+03,80042.25,1.44E+04,0.000331389,9.37E-06,0.000325203,5.22E-05,0.001811594,5.12E-05
19,1,2,85,4,194.9,9.5,170,8,389.8,19,340,16566.5,807.5,779.6,38,1851.55,0.023529412,0.5,0.010261673,0.210526316,21.25,0.436121088,8.947368421,48.725,20.51578947,2.375,42.5,0.872242175,17.89473684,0.094117647,0.041046691,0.842105263,4.585882353,97.45,41.03157895,0.223529412,4.75,0.09748589,1.744484351,35.78947368,4141.625,1743.842105,201.875,4.143150334,9.171764706,82.06315789,0.447058824,0.19497178,21.78294118,462.8875,680,33133,1615,1559.2,76,3703.1,66266,3230,157381.75,7406.2,0.005882353,0.000120726,0.00247678,0.002565418,0.052631579,0.001080176
20,1,0.3,60,8.7,254,7.8,18,2.61,76.2,2.34,522,15240,468,2209.8,67.86,1981.2,0.005,0.034482759,0.001181102,0.038461538,6.896551724,0.236220472,7.692307692,29.1954023,32.56410256,0.896551724,2.068965517,0.070866142,2.307692308,0.0435,0.010275591,0.334615385,1.27,8.75862069,9.769230769,0.039,0.268965517,0.009212598,2.05511811,66.92307692,1751.724138,1953.846154,53.79310345,1.842519685,36.83,283.3076923,1.131,0.267165354,33.02,227.7241379,156.6,4572,140.4,662.94,20.358,5.94E+02,132588,4071.6,118872,17236.44,0.000574713,1.97E-05,0.000641026,0.000135759,0.004420866,0.000151423
21,1,3,65,2.5,229.8,8.8,195,7.5,689.4,26.4,162.5,14937,572,574.5,22,2022.24,0.046153846,1.2,0.01305483,0.340909091,26,0.282854656,7.386363636,91.92,26.11363636,3.52,78,0.848563969,22.15909091,0.115384615,0.032637076,0.852272727,10.60615385,275.76,78.34090909,0.406153846,10.56,0.114882507,0.707136641,18.46590909,5974.8,1697.386364,228.8,2.489120975,8.838461538,65.28409091,0.338461538,0.095735422,31.11138462,808.896,487.5,44811,1716,1723.5,66,6066.72,37342.5,1430,131445.6,5055.6,0.018461538,0.000200844,0.005244755,0.005221932,0.136363636,0.001483503
22,1,4.5,44,5,240.2,7.7,198,22.5,1080.9,34.65,220,10568.8,338.8,1201,38.5,1849.54,0.102272727,0.9,0.018734388,0.584415584,8.8,0.183180683,5.714285714,48.04,31.19480519,1.54,39.6,0.824313072,25.71428571,0.511363636,0.09367194,2.922077922,24.56590909,216.18,140.3766234,0.7875,6.93,0.144254788,0.915903414,28.57142857,2113.76,1372.571429,67.76,1.410491257,27.29545455,155.974026,0.875,0.160283097,42.035,369.908,990,47559.6,1524.6,5404.5,173.25,8322.93,52844,1694,81379.76,9247.7,0.020454545,0.000425782,0.013282172,0.003746878,0.116883117,0.002433037
23,0,0.4,93,8.5,247.7,9.2,37.2,3.4,99.08,3.68,790.5,23036.1,855.6,2105.45,78.2,2278.84,0.004301075,0.047058824,0.001614857,0.043478261,10.94117647,0.375454178,10.10869565,29.14117647,26.92391304,1.082352941,4.376470588,0.150181671,4.043478261,0.03655914,0.013726282,0.369565217,1.065376344,11.65647059,10.76956522,0.039569892,0.432941176,0.014856681,3.191360517,85.92391304,2710.129412,2503.923913,100.6588235,3.454178442,22.63924731,228.8532609,0.840860215,0.315704481,24.50365591,268.0988235,316.2,9214.44,342.24,842.18,31.28,9.12E+02,195806.85,7272.6,211932.12,19370.14,0.000506009,1.74E-05,0.000467508,0.000189983,0.00511509,0.000175528
24,1,2.5,89,5.5,220.3,8.3,222.5,13.75,550.75,20.75,489.5,19606.7,738.7,1211.65,45.65,1828.49,0.028089888,0.454545455,0.011348162,0.301204819,16.18181818,0.403994553,10.72289157,40.05454545,26.54216867,1.509090909,40.45454545,1.009986382,26.80722892,0.154494382,0.062414889,1.656626506,6.188202247,100.1363636,66.35542169,0.233146067,3.772727273,0.094189741,2.221970041,58.97590361,3564.854545,2362.253012,134.3090909,3.353154789,13.61404494,145.9819277,0.512921348,0.207217431,20.54483146,332.4527273,1223.75,49016.75,1846.75,3029.125,114.125,4571.225,107836.85,4062.85,162735.61,10056.695,0.005107252,0.000127507,0.003384324,0.002063302,0.054764513,0.001367248
25,0,0,55,6,157.2,9.3,0,0,0,0,330,8646,511.5,943.2,55.8,1461.96,0,0,0,0,9.166666667,0.349872774,5.913978495,26.2,16.90322581,1.55,0,0,0,0,0,0,0,0,0,0,0,0,2.099236641,35.48387097,1441,929.6774194,85.25,3.253816794,17.14909091,101.4193548,1.014545455,0.354961832,26.58109091,243.66,0,0,0,0,0,0,51876,3069,80407.8,8771.76,0,0,0,0,0,0
27,1,0,75,4,239.9,8.2,0,0,0,0,300,17992.5,615,959.6,32.8,1967.18,0,0,0,0,18.75,0.312630263,9.146341463,59.975,29.25609756,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1.25052105,36.58536585,4498.125,2194.207317,153.75,2.563568153,12.79466667,117.0243902,0.437333333,0.136723635,26.22906667,491.795,0,0,0,0,0,0,71970,2460,147538.5,7868.72,0,0,0,0,0,0
28,1,4.8,67,5.1,193.7,8,321.6,24.48,929.76,38.4,341.7,12977.9,536,987.87,40.8,1549.6,0.071641791,0.941176471,0.024780589,0.6,13.1372549,0.345895715,8.375,37.98039216,24.2125,1.568627451,63.05882353,1.660299432,40.2,0.365373134,0.126381002,3.06,13.87701493,182.3058824,116.22,0.573134328,7.529411765,0.198244708,1.764068147,42.7125,2544.686275,1622.2375,105.0980392,2.76716572,14.74432836,123.48375,0.608955224,0.210635003,23.12835821,303.8431373,1640.16,62293.92,2572.8,4741.776,195.84,7438.08,66187.29,2733.6,103823.2,7902.96,0.01404741,0.00036986,0.008955224,0.004858939,0.117647059,0.003097574
