,xrf_5p,N,M,I,T,P,N*M,N*I,N*T,N*P,M*I,M*T,M*P,I*T,I*P,T*P,N/M,N/I,N/T,N/P,M/I,M/T,M/P,T/I,T/P,P/I
37,0,4.5,50,8.3,193.6,9.1,225,37.35,871.2,40.95,415,9680,455,1606.88,75.53,1761.76,0.09,0.542168675,0.023243802,0.494505495,6.024096386,0.258264463,5.494505495,23.3253012,21.27472527,1.096385542
38,1,2.7,88,5.3,183.9,8.3,237.6,14.31,496.53,22.41,466.4,16183.2,730.4,974.67,43.99,1526.37,0.030681818,0.509433962,0.014681892,0.325301205,16.60377358,0.478520935,10.60240964,34.69811321,22.15662651,1.566037736
39,1,3,79,5.3,198.9,9.2,237,15.9,596.7,27.6,418.7,15713.1,726.8,1054.17,48.76,1829.88,0.037974684,0.566037736,0.015082956,0.326086957,14.90566038,0.397184515,8.586956522,37.52830189,21.61956522,1.735849057
40,1,1.4,74,9.5,217,9.1,103.6,13.3,303.8,12.74,703,16058,673.4,2061.5,86.45,1974.7,0.018918919,0.147368421,0.006451613,0.153846154,7.789473684,0.341013825,8.131868132,22.84210526,23.84615385,0.957894737
41,0,0.6,83,9,192.5,7.8,49.8,5.4,115.5,4.68,747,15977.5,647.4,1732.5,70.2,1501.5,0.007228916,0.066666667,0.003116883,0.076923077,9.222222222,0.431168831,10.64102564,21.38888889,24.67948718,0.866666667
42,1,3,77,6.7,232.7,7.5,231,20.1,698.1,22.5,515.9,17917.9,577.5,1559.09,50.25,1745.25,0.038961039,0.447761194,0.012892136,0.4,11.49253731,0.330898152,10.26666667,34.73134328,31.02666667,1.119402985
43,0,4.7,67,7.1,138.4,8.7,314.9,33.37,650.48,40.89,475.7,9272.8,582.9,982.64,61.77,1204.08,0.070149254,0.661971831,0.033959538,0.540229885,9.436619718,0.484104046,7.701149425,19.49295775,15.90804598,1.225352113
44,0,0.4,98,8.9,143.8,7.9,39.2,3.56,57.52,3.16,872.2,14092.4,774.2,1279.82,70.31,1136.02,0.004081633,0.04494382,0.002781641,0.050632911,11.01123596,0.681502086,12.40506329,16.15730337,18.20253165,0.887640449
45,0,4.9,43,8.9,193.2,9,210.7,43.61,946.68,44.1,382.7,8307.6,387,1719.48,80.1,1738.8,0.113953488,0.550561798,0.025362319,0.544444444,4.831460674,0.222567288,4.777777778,21.70786517,21.46666667,1.011235955
46,1,2.4,80,3.7,158.1,8.2,192,8.88,379.44,19.68,296,12648,656,584.97,30.34,1296.42,0.03,0.648648649,0.015180266,0.292682927,21.62162162,0.506008855,9.756097561,42.72972973,19.2804878,2.216216216
47,0,1.9,87,6.9,146.5,8.9,165.3,13.11,278.35,16.91,600.3,12745.5,774.3,1010.85,61.41,1303.85,0.02183908,0.275362319,0.012969283,0.213483146,12.60869565,0.593856655,9.775280899,21.23188406,16.46067416,1.289855072
48,1,2.9,44,7.1,210.4,7.8,127.6,20.59,610.16,22.62,312.4,9257.6,343.2,1493.84,55.38,1641.12,0.065909091,0.408450704,0.01378327,0.371794872,6.197183099,0.209125475,5.641025641,29.63380282,26.97435897,1.098591549
49,1,2.9,56,7.7,257.7,8.2,162.4,22.33,747.33,23.78,431.2,14431.2,459.2,1984.29,63.14,2113.14,0.051785714,0.376623377,0.011253395,0.353658537,7.272727273,0.217306946,6.829268293,33.46753247,31.42682927,1.064935065
50,1,0.9,67,8.9,219,8.8,60.3,8.01,197.1,7.92,596.3,14673,589.6,1949.1,78.32,1927.2,0.013432836,0.101123596,0.004109589,0.102272727,7.528089888,0.305936073,7.613636364,24.60674157,24.88636364,0.988764045
51,1,3.4,75,2.9,225.5,9.4,255,9.86,766.7,31.96,217.5,16912.5,705,653.95,27.26,2119.7,0.045333333,1.172413793,0.015077605,0.361702128,25.86206897,0.332594235,7.978723404,77.75862069,23.9893617,3.24137931
